LONG,LAT
-54.15623346,72.9513235
-54.29120532,73.0300439
-54.55233584,73.08155846
-54.89552139,73.09634302
-27.97866962,73.12958792
-55.0096218,73.2883732
-54.98887142,73.3930845
-27.54043079,73.45311424
-55.21086361,73.51032602
-27.247112,73.546684
-55.41662198,73.629161
-55.40834287,73.84885865
-24.47847194,73.89408658
-55.64504848,73.948268
-25.9898259,73.96276193
-55.707908,74.003058
-22.28570237,74.1613365
-55.909738,74.177084
-55.90736558,74.23287062
-55.93393669,74.33360051
-55.817481,74.403497
-55.984863,74.619112
-56.101093,74.702423
-56.215043,74.761032
-56.362756,74.837763
-56.643072,74.883167
-56.900133,74.914619
-57.02865095,74.9786435
-57.3513461,75.04088851
-57.5718996,75.14753651
-22.64941641,75.16418008
-57.89380529,75.29998751
-57.925834,75.460289
-58.05619394,75.62112701
-22.34442315,75.66094612
-58.32287539,75.6964932
-58.3494123,75.77010584
-58.44994132,75.78297728
-58.733904,75.808039
-58.92763443,75.86007951
-59.10622943,75.90761351
-59.27096,75.950999
-59.38300344,75.98055951
-21.97509769,76.0382193
-59.60942693,76.03965701
-60.61916821,76.08364049
-67.19583601,76.08629234
-60.07628993,76.09352801
-21.93153606,76.16453528
-67.54725651,76.20363018
-60.646692,76.218221
-60.853496,76.247532
-61.03886197,76.26187852
-67.30878313,76.26291031
-61.210102,76.271644
-61.39149147,76.28280902
-61.642954,76.298218
-64.626102,76.32042
-66.98577,76.329117
-66.025039,76.336314
-61.94027038,76.33933855
-62.42139157,76.34342947
-65.80712727,76.34396358
-66.72960242,76.35149927
-65.45085767,76.3577718
-64.34545557,76.36720273
-64.14190927,76.37225455
-62.69334725,76.404687
-63.611452,76.40808477
-63.47711783,76.44535625
-63.14949643,76.45891375
-63.003523,76.467632
-67.50171765,76.48442906
-67.11569513,76.52289683
-22.60140357,76.54601918
-22.90611945,76.59486612
-23.20000727,76.64129035
-69.52256169,76.99624512
-21.59897486,77.17902253
-65.85271851,77.22386645
-65.37668485,77.53068665
-67.73600932,77.58735202
-65.59110205,77.65996281
-68.57880731,77.70098201
-66.94178209,77.71757136
-66.233687,77.717669
-66.63657234,77.73767872
-69.65290564,77.89733204
-71.05651294,77.9011065
-69.80343058,77.91834005
-71.58103931,77.95616959
-21.54063552,78.03362545
-21.145315,78.925681
-22.55025872,79.31599896
-63.655485,79.825181
-59.46262193,80.49150451
-25.13730612,80.49341566
-18.87308371,80.53269518
-59.67296492,80.65164441
-19.42421643,80.67260043
-17.53517237,80.76502698
-60.28946252,80.79714961
-17.14529686,81.34591883
-27.94927063,81.3980692
-53.98116731,81.40209096
-45.740623,81.501867
-44.979013,81.538509
-50.25254259,81.53880974
-32.34007,81.593436
-15.98926548,81.62100369
-44.95526361,81.63526765
-13.09019157,81.63570145
-15.02900743,81.70256493
-45.23104177,81.74145877
-33.11847349,81.78936656
-45.4888936,81.81479674
-42.52617729,82.08602589
-40.06655599,82.24262242
-44.2621639,82.28273565
-42.57791427,82.33530004
-39.9241522,82.42221935
-44.98950347,82.5068848
-38.43569921,82.78902161
-36.925756,83.42676924
